ID Produit Cave,Nom Produit (la-cave-privee),URL Produit Cave,Statut,Score Matching (%),Nom Produit Corniche,Fichier Image Local,URL Image Corniche (originale)
1,Batard Montrachet  Pierre Morey 2009,https://www.la-cave-privee.com/fr/products/batard-montrachet-pierre-morey-2009-blanc/details?sm=vins-importes,❌ Non trouvé,,,,
2,Chambertin Clos de Bèze Grand Cru  2007,https://www.la-cave-privee.com/fr/products/chambertin-clos-de-beze-grand-cru-2007/details?sm=vins-importes,❌ Non trouvé,,,,
3,Chassagne Montrachet 1er cru Clos St Jean Ramonet 2014 Rouge,https://www.la-cave-privee.com/fr/products/chassagne-montrachet-1er-cru-clos-st-jean-ramonet-2014-rouge/details?sm=vins-importes,❌ Non trouvé,,,,
4,Chassagne Montrachet Ramonet 2014 Rouge,https://www.la-cave-privee.com/fr/products/chassagne-montrachet-ramonet-2014-rouge/details?sm=vins-importes,❌ Non trouvé,,,,
5,Chassagne-Montrachet 1er Cru Les Embrazees 2017,https://www.la-cave-privee.com/fr/products/chassagne-montrachet-1er-cru-les-embrazees-2017/details?sm=vins-importes,❌ Non trouvé,,,,
6,Château Canon  2001,https://www.la-cave-privee.com/fr/products/chateau-canon-2001/details?sm=vins-importes,❌ Non trouvé,,,,
7,Château Canon  2005,https://www.la-cave-privee.com/fr/products/chateau-canon-2005/details?sm=vins-importes,❌ Non trouvé,,,,
8,Château Canon  2009,https://www.la-cave-privee.com/fr/products/chateau-canon-2009/details?sm=vins-importes,❌ Non trouvé,,,,
9,Château Canon-La-Gaffelière  2003,https://www.la-cave-privee.com/fr/products/chateau-canon-la-gaffeliere-2003/details?sm=vins-importes,❌ Non trouvé,,,,
10,Château Du Tertre  1998,https://www.la-cave-privee.com/fr/products/chateau-du-tertre-1998/details?sm=vins-importes,✅ Matché,62.5,CHATEAU DE FLEUR ROSE 75CL,chateau_de_fleur_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/CHATEAU-DE-FLEUR-ROSE-75CL-1-410x540.png
11,Clos des Lambrays Grand Cru  2017,https://www.la-cave-privee.com/fr/products/clos-des-lambrays-grand-cru-2017/details?sm=vins-importes,❌ Non trouvé,,,,
12,Corton Charlemagne Grand Cru  2001,https://www.la-cave-privee.com/fr/products/corton-charlemagne-grand-cru-2001/details?sm=vins-importes,❌ Non trouvé,,,,
13,Meursault 1er Cru Charmes 2009,https://www.la-cave-privee.com/fr/products/meursault-1er-cru-charmes-2009/details?sm=vins-importes,❌ Non trouvé,,,,
14,Meursault 1er Cru Charmes 2015,https://www.la-cave-privee.com/fr/products/meursault-1er-cru-charmes-2015/details?sm=vins-importes,❌ Non trouvé,,,,
15,Meursault 1er Cru Genevrières 2019,https://www.la-cave-privee.com/fr/products/meursault-1er-cru-genevrieres-2019/details?sm=vins-importes,❌ Non trouvé,,,,
16,Meursault 1er cru Perrières Pierre Morey 2007 blanc,https://www.la-cave-privee.com/fr/products/meursault-1er-cru-perrieres-pierre-morey-2007-blanc/details?sm=vins-importes,❌ Non trouvé,,,,
17,Nuits Saint Georges 1er Cru LES CAILLES 2011,https://www.la-cave-privee.com/fr/products/nuits-saint-georges-1er-cru-les-cailles-2011/details?sm=vins-importes,❌ Non trouvé,,,,
18,Nuits Saint Georges 1er Cru Les Pruliers 2003,https://www.la-cave-privee.com/fr/products/nuits-saint-georges-1er-cru-les-pruliers-2003/details?sm=vins-importes,❌ Non trouvé,,,,
19,Nuits Saint Georges 1er Cru PERRIERES 2011,https://www.la-cave-privee.com/fr/products/nuits-saint-georges-1er-cru-perrieres-2011/details?sm=vins-importes,❌ Non trouvé,,,,
20,"Pavillon Rouge Du Château Margaux, 2Nd Vin De Margaux 2006",https://www.la-cave-privee.com/fr/products/pavillon-rouge-du-chateau-margaux-2nd-vin-de-margaux-2006/details?sm=vins-importes,❌ Non trouvé,,,,
21,Puligny Montrachet 1er cru sous le Puits Bachelet Jean Claude 2014 blanc,https://www.la-cave-privee.com/fr/products/puligny-montrachet-1er-cru-sous-le-puits-bachelet-jean-claude-2014-blanc/details?sm=vins-importes,❌ Non trouvé,,,,
22,Romanée Saint Vivant Grand Cru Domaine Jean-Jacques Confuron 2015,https://www.la-cave-privee.com/fr/products/romanee-saint-vivant-grand-cru-domaine-jean-jacques-confuron-2015/details?sm=vins-importes,❌ Non trouvé,,,,
23,Romanée St Vivant grand cru  Arnoux Lachaux 2015 rouge,https://www.la-cave-privee.com/fr/products/romanee-st-vivant-grand-cru-arnoux-lachaux-2015-rouge/details?sm=vins-importes,❌ Non trouvé,,,,
24,Volnay 1er Cru Clos des Chênes 2014,https://www.la-cave-privee.com/fr/products/volnay-1er-cru-clos-des-chenes-2014/details?sm=vins-importes,❌ Non trouvé,,,,
25,BARDINET BRANDY NAPOLEON XO Extra 6 Yo - 70cl,https://www.la-cave-privee.com/fr/products/bardinet-brandy-napoleon-xo-extra-6-yo-70cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
26,Calvados FINE CALVADOS - 70cl,https://www.la-cave-privee.com/fr/products/calvados-fine-calvados-70cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
27,Liqueur Apple Sour SLAUR -70cl,https://www.la-cave-privee.com/fr/products/-liqueur-apple-sour-slaur-70cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
